classe,page,de,en
Klasse 6 E-Kurs,198,traurig,sad
Klasse 6 E-Kurs,198,gluecklich,happy
Klasse 6 E-Kurs,198,genau wie,just like
Klasse 6 E-Kurs,198,Auge,eye
Klasse 6 E-Kurs,198,sterben,die
Klasse 6 E-Kurs,198,deshalb,that's why
Klasse 6 E-Kurs,198,weinen,cry
Klasse 6 E-Kurs,198,unfreundlich,unfriendly
Klasse 6 E-Kurs,198,sammeln,collect
Klasse 6 E-Kurs,198,Gegenteil,opposite
Klasse 6 E-Kurs,198,Tipp,tip
Klasse 6 E-Kurs,198,Eis,ice cream
Klasse 6 E-Kurs,198,seltsam,strange
Klasse 6 E-Kurs,198,tragen,wear
Klasse 6 E-Kurs,198,nicht duerfen,mustn't
Klasse 6 E-Kurs,198,Schal,scarf
Klasse 6 E-Kurs,198,Oh je,oh dear
Klasse 6 E-Kurs,198,wuetend,angry
Klasse 6 E-Kurs,198,schuechtern,shy
