classe,page,de,en
Klasse 6 E-Kurs,212,vorsichtig fahren,drive carefully
Klasse 6 E-Kurs,212,Fuchs,fox
Klasse 6 E-Kurs,212,frueher,in the old days
Klasse 6 E-Kurs,212,"ueber, quer durch",across
Klasse 6 E-Kurs,212,riechen,smell
Klasse 6 E-Kurs,212,das Wetter wird gut,the weather will be good
Klasse 6 E-Kurs,212,Regen,rain
Klasse 6 E-Kurs,212,Wettervorhersage,forecast
Klasse 6 E-Kurs,212,neblig,foggy
Klasse 6 E-Kurs,212,Nebel,fog
Klasse 6 E-Kurs,212,mitnehmen,take
Klasse 6 E-Kurs,212,Stiefel,boot
Klasse 6 E-Kurs,212,Zelt,tent
Klasse 6 E-Kurs,212,packen,pack
Klasse 6 E-Kurs,212,Sonnencreme,suncream
Klasse 6 E-Kurs,212,Schlafanzug,pyjamas
Klasse 6 E-Kurs,212,Foen,hairdryer
Klasse 6 E-Kurs,212,Rucksack,rucksack
Klasse 6 E-Kurs,212,Jeans,jeans
Klasse 6 E-Kurs,212,Liste,list
