classe,page,de,en
Klasse 6 E-Kurs,217,Schmuggler,smuggler
Klasse 6 E-Kurs,217,Kueste,coast
Klasse 6 E-Kurs,217,Koenig,king
Klasse 6 E-Kurs,217,Legende,legend
Klasse 6 E-Kurs,217,ziehen,pull
Klasse 6 E-Kurs,217,Schwert,sword
Klasse 6 E-Kurs,217,werden,become
Klasse 6 E-Kurs,217,Zauberer,magician
Klasse 6 E-Kurs,217,die Roemer,the Romans
Klasse 6 E-Kurs,217,Lager,camp
Klasse 6 E-Kurs,217,im ganzen Land,all over the country
Klasse 6 E-Kurs,217,lebendige Geschichte,living history
Klasse 6 E-Kurs,217,Fantasie,fantasy
Klasse 6 E-Kurs,217,Burg,castle
Klasse 6 E-Kurs,217,Treppe,stairs
Klasse 6 E-Kurs,217,eintreten,enter
Klasse 6 E-Kurs,217,Gang,hall
Klasse 6 E-Kurs,217,Magie,magic
Klasse 6 E-Kurs,217,Streiche spielen,play tricks
Klasse 6 E-Kurs,217,erstaunlich,amazing
Klasse 6 E-Kurs,217,Kapitaen,captain
Klasse 6 E-Kurs,217,Fahrkarte,ticket
