classe,page,de,en
Klasse 6 E-Kurs,200,Milch,milk
Klasse 6 E-Kurs,200,Brot,bread
Klasse 6 E-Kurs,200,Wurst,sausage
Klasse 6 E-Kurs,200,Pommes,chip
Klasse 6 E-Kurs,200,Feuerwerk,fireworks
Klasse 6 E-Kurs,200,laufen,run
Klasse 6 E-Kurs,200,Angst haben,be scared
Klasse 6 E-Kurs,200,Stunde,hour
Klasse 6 E-Kurs,200,halbe Stunde,half an hour
Klasse 6 E-Kurs,200,legen,put
Klasse 6 E-Kurs,200,bringen,bring
Klasse 6 E-Kurs,200,fallen,fall
Klasse 6 E-Kurs,200,fuettern,feed
Klasse 6 E-Kurs,200,wissen,know
Klasse 6 E-Kurs,200,reiten,ride
Klasse 6 E-Kurs,200,schicken,send
Klasse 6 E-Kurs,200,singen,sing
Klasse 6 E-Kurs,200,Tierheim,dog's home
Klasse 6 E-Kurs,200,Besitzer,owner
Klasse 6 E-Kurs,200,Schwanz,tail
Klasse 6 E-Kurs,200,heute Morgen/Nachmittag/Abend,this morning/afternoon/evening
