classe,page,de,en
Klasse 7 G-Kurs,155,Tor,gate
Klasse 7 G-Kurs,155,Wald; Holz,wood
Klasse 7 G-Kurs,155,Kneipe,pub
Klasse 7 G-Kurs,155,Du machst wohl Witze! / Spitzenwitz!,You’re joking!
Klasse 7 G-Kurs,155,"Witze machen, scherzen",joke
Klasse 7 G-Kurs,155,Komm(t) (schon)! / Ach komm!,Come on!
Klasse 7 G-Kurs,155,kaufen: wir haben gekauft,buy: we’ve bought
Klasse 7 G-Kurs,155,Überwachungssystem; Überwachungskamera(s),CCTV
Klasse 7 G-Kurs,155,"Geschäft, Betrieb",business
Klasse 7 G-Kurs,155,"ein Geschäft aufmachen, einen Betrieb gründen/eröffnen",start a business
Klasse 7 G-Kurs,155,anfangen: er hat angefangen,start: he has started
Klasse 7 G-Kurs,155,"Transporter, Lieferwagen",van
Klasse 7 G-Kurs,155,finden: sie hat gefunden,find: she has found
Klasse 7 G-Kurs,155,treffen: sie hat getroffen,meet: she has met
Klasse 7 G-Kurs,155,Es nervt! / Es ist Mist!,It sucks! (infml)
Klasse 7 G-Kurs,155,glauben,believe
Klasse 7 G-Kurs,155,sehen: ich habe gesehen,see: I’ve seen
Klasse 7 G-Kurs,155,sprechen: ich habe gesprochen,speak: I’ve spoken
Klasse 7 G-Kurs,155,noch nicht,not … yet
Klasse 7 G-Kurs,155,So ein Mist! / Es nervt!,What a pain! (infml)
Klasse 7 G-Kurs,155,"schließen, zumachen",close
Klasse 7 G-Kurs,155,Reg dich nicht auf. / Bleib mal locker.,Take it easy! (infml)
Klasse 7 G-Kurs,155,,ChatGPT fragen
