classe,page,de,en
Klasse 7 E-Kurs,193,So ein Mist!,What a pain!
Klasse 7 E-Kurs,193,Hundeleine,lead
Klasse 7 E-Kurs,193,"Tor, Gatter",gate
Klasse 7 E-Kurs,193,Bleib ruhig!,Take it easy!
Klasse 7 E-Kurs,193,verfolgen,chase
Klasse 7 E-Kurs,193,"Pfad, Feldweg",track
Klasse 7 E-Kurs,193,Held,hero
Klasse 7 E-Kurs,193,retten; sparen,save
Klasse 7 E-Kurs,193,herauskommen,get out of
Klasse 7 E-Kurs,193,anrufen; klingeln,"ring, rang, rung"
Klasse 7 E-Kurs,193,mutig,brave
Klasse 7 E-Kurs,193,tief,deep
Klasse 7 E-Kurs,193,ertrinken,drown
Klasse 7 E-Kurs,193,schwer,heavy
Klasse 7 E-Kurs,193,Tochter,daughter
Klasse 7 E-Kurs,193,Sohn,son
Klasse 7 E-Kurs,193,reagieren,react
Klasse 7 E-Kurs,193,kuerzlich,recently
Klasse 7 E-Kurs,193,"klar, eindeutig",clear
Klasse 7 E-Kurs,193,Landschaft,countryside
Klasse 7 E-Kurs,193,irgendetwas,anything
