classe,page,de,en
Klasse 7 E-Kurs,188,Palast,palace
Klasse 7 E-Kurs,188,Koenig,king
Klasse 7 E-Kurs,188,Koenigin,queen
Klasse 7 E-Kurs,188,Praesident,president
Klasse 7 E-Kurs,188,beruehmt,famous
Klasse 7 E-Kurs,188,"Glocke, Klingel",bell
Klasse 7 E-Kurs,188,Turm,tower
Klasse 7 E-Kurs,188,Detektiv,detective
Klasse 7 E-Kurs,188,U-Bahn (in London),the Tube
Klasse 7 E-Kurs,188,U-Bahn,the underground
Klasse 7 E-Kurs,188,reisen,travel
Klasse 7 E-Kurs,188,"Fahrt, Fahrpreis",ride
Klasse 7 E-Kurs,188,dauern,take
Klasse 7 E-Kurs,188,Platz,square
Klasse 7 E-Kurs,188,bezahlen,pay (for)
Klasse 7 E-Kurs,188,bezahlte,paid
Klasse 7 E-Kurs,188,Geldstrafe,fine
Klasse 7 E-Kurs,188,hoch,high
Klasse 7 E-Kurs,188,Sehenswuerdigkeiten,sights
Klasse 7 E-Kurs,188,oertlich,local
Klasse 7 E-Kurs,188,geschrieben von,written by
Klasse 7 E-Kurs,188,"denken, glauben, meinen",think of/about
