"Franzoesisch","Deutsch"
"Il fait quel temps?","Wie ist das Wetter?"
"le temps","das Wetter"
"Il pleut.","Es regnet."
"Il fait froid.","Es ist kalt."
"Il fait beau.","Es ist schoenes Wetter."
"Il fait chaud.","Es ist warm/heiss."
"Il neige.","Es schneit."
"Il fait 5 degres.","Es sind 5 Grad."
"le degre","das Grad"
"l'apres-midi (m)","der Nachmittag, am Nachmittag"
"le soir","der Abend, am Abend"
"la nuit","die Nacht, in der Nacht, nachts"
"C'est pas grave!","Nicht schlimm! Macht nichts!"
"le portable","das Handy"
"chatter","chatten"
"ce/cet/cette/ces","dieser/diese/dieses"
"ce matin","heute Morgen"
"ce soir","heute Abend"
"cette semaine","diese Woche"
"cet apres-midi","heute Nachmittag"
"ces vacances","diese Ferien"
"content/contente adj.","gluecklich, zufrieden"
"demain","morgen"
"parfois","manchmal"
"dehors","draussen"
"T'inquiete!","Keine Sorge!"
"quelque chose","etwas"
