"Franzoesisch","Deutsch"
"faire qc","etw. machen, etw. tun"
"la fete","die Feier"
"le week-end","das Wochenende"
"lundi","Montag, am Montag"
"mardi","Dienstag, am Dienstag"
"mercredi","Mittwoch, am Mittwoch"
"jeudi","Donnerstag, am Donnerstag"
"vendredi","Freitag, am Freitag"
"samedi","Samstag, am Samstag"
"dimanche","Sonntag, am Sonntag"
"une invitation","eine Einladung"
"je t'invite","ich lade dich ein"
"inviter qn","jdn einladen"
"Pourquoi...?","Warum...? (Fragewort)"
"a...heure(s)","um ... Uhr"
"faire de l'escalade","klettern"
"faire de la trottinette","Scooter fahren, Roller fahren"
"faire du camping","zelten"
"faire du/de la/de l'/des","etw. machen (als Hobby)"
"le salon","das Wohnzimmer"
"apporter qc","etw. mitbringen"
"les vetements de sport (m, pl)","die Sportkleidung"
"le sac de couchage","der Schlafsack"
"le cadeau","das Geschenk"
"Je compte sur toi.","Ich zaehle auf dich."
