"Franzoesisch","Deutsch"
"et quart","Viertel nach"
"le quart","die Viertelstunde"
"et demie","halb"
"moins le quart","Viertel vor"
"moins","weniger, minus"
"midi","12 Uhr mittags"
"minuit","Mitternacht"
"vite","schnell"
"en retard","zu spaet"
"le retard","die Verspaetung"
"la montre","die Armbanduhr"
"a l'heure","puenktlich"
"chercher midi a quatorze heures","die Dinge komplizierter machen, als sie sind"
"ce week-end","dieses Wochenende, an diesem Wochenende"
"pour + inf.","um etw. zu tun; zum + Nomen"
