"Franzoesisch","Deutsch"
"corriger qc","etw. korrigieren, etw. berichtigen"
"Lis!","Lies! (Imperativ)"
"Lisez!","Lest! (Imperativ)"
"On est quel jour?","Welcher Tag ist heute?"
"On est le...","Heute ist der..."
"Est-ce que je peux ouvrir la fenetre?","Kann ich das Fenster oeffnen?"
"marcher","gehen, funktionieren"
"les ecouteurs (m, pl)","die Kopfhoerer"
"un exercice","eine Uebung"
"la page","die Seite"
"il faut + inf.","man muss/wir muessen etw. tun"
"Reponds aux questions.","Beantworte die Fragen. (Imperativ)"
"Repondez aux questions.","Beantwortet die Fragen. (Imperativ)"
"Ca y est!","So!, Geschafft!"
"Vous avez fini?","Seid ihr fertig?"
"Apprenez le vocabulaire.","Lernt die Vokabeln. (Imperativ)"
"une unite","eine Lektion"
"le controle","der Test"
"malade adj.","krank"
