"Franzoesisch","Deutsch"
"Joyeux anniversaire!","Herzlichen Glueckwunsch zum Geburtstag!"
"un anniversaire","ein Geburtstag"
"le printemps","der Fruehling"
"l'ete (m)","der Sommer"
"l'automne (m)","der Herbst"
"l'hiver (m)","der Winter"
"C'est quand...?","Wann ist...?"
"Quand...?","Wann...? (Fragewort)"
"c'est le...","der/das ist..."
"premier/premiere adj.","erster/erste/erstes"
"la semaine","die Woche"
"repeter qc","etw. wiederholen"
"apres","danach"
"chanter","singen"
"le mois","der Monat"
"faire la fete","feiern"
