"Franzoesisch","Deutsch"
"le menu","das Menue, der Speiseplan, die Speisekarte"
"une entree","eine Vorspeise"
"la soupe","die Suppe"
"la tomate","die Tomate"
"la carotte","die Karotte, die Moehre"
"le gratin","der Auflauf, das Gratin"
"le potiron","der Kuerbis"
"le dessert","die Nachspeise, der Nachtisch"
"le fruit","die Frucht, das Obst"
"le gateau aux pommes","der Apfelkuchen"
"la pomme","der Apfel"
"avoir faim","Hunger haben"
"prendre qc","etw. nehmen"
"orange adj.","orange"
"ca/cela","das"
"sans","ohne"
"la viande","das Fleisch"
"Attention!","Achtung!"
