"Franzoesisch","Deutsch"
"le match","das Spiel"
"le film","der Film"
"le concert","das Konzert"
"la balade","der Spaziergang"
"un atelier","ein Workshop"
"faire du shopping","shoppen (gehen)"
"faire du skate","Skateboard fahren"
"le skate","das Skateboard"
"retrouver qn","jdn treffen, sich mit jdm treffen"
"aller","gehen, fahren"
"le skatepark","der Skatepark"
"On y va!","Los geht's! Wir gehen dahin."
"maintenant","jetzt"
"etre desole/desolee","etw. bedauern, etw. tut jdm leid"
"Je ne peux pas.","Ich kann nicht."
"Ah bon?","Ach so?, Wirklich?"
"Pourquoi pas?","Warum nicht?"
