"Franzoesisch","Deutsch"
"a table","am Esstisch, auch: Essen (ist fertig)!, Zu Tisch!"
"ne...jamais","nie"
"ne...plus","nicht mehr"
"ne...rien","nichts"
"mettre qc","etw. stellen, etw. setzen, etw. legen"
"mettre la table","den Tisch decken"
"le paquet","das Paket, die Packung"
"miam (fam)","mhh, wenn etw. gut schmeckt"
"l'eau (f)","das Wasser"
"la bouteille","die Flasche"
"le coca","die Cola"
"le verre","das Glas"
"Bon appetit!","Guten Appetit!"
"Tu me passes...?","Gibst du mir...?"
"le sel","das Salz"
"la recette","das (Koch-)Rezept"
"beurk (fam)","igitt"
"Je n'ai plus faim.","Ich bin satt."
"avoir soif","Durst haben"
"pret/prete adj.","fertig"
"poli/polie adj.","hoeflich"
