"Franzoesisch","Deutsch"
"la chanson","das Lied"
"je vais vous presenter qc","ich werde euch/Ihnen etw. vorstellen"
"presenter qn/qc","jdn/etw. vorstellen"
"Sante!","Prost!"
"la melodie","die Melodie"
"le texte","der Text"
"la presentation","die Praesentation"
"utiliser qc","etw. benutzen"
"des mots nouveaux","neue Woerter"
"la liste","die Liste"
"ensuite","dann, danach"
"le message","die Botschaft, die Aussage"
"pour finir","zum Schluss, am Ende"
"le/la Belge","der/die Belgier/-in"
"le refrain","der Refrain"
"celebre adj.","beruehmt"
"le probleme","das Problem"
"les gens (m, pl)","die Leute"
"ca veut dire","das heisst"
"la vie","das Leben"
"beaucoup","viel, sehr"
"difficile adj.","schwer, schwierig"
"important/importante adj.","wichtig"
"Merci de votre attention.","Danke fuer eure/Ihre Aufmerksamkeit."
