"Franzoesisch","Deutsch"
"le/la corres (fam)","der/die Brieffreund/-in, der/die Austauschpartner/-in"
"petit/petite adj.","klein"
"noir/noire adj.","schwarz"
"moche adj.","haesslich"
"triste adj.","traurig"
"blanc/blanche adj.","weiss"
"joli/jolie adj.","huebsch"
"drole adj.","lustig"
"grand/grande adj.","gross"
"quand","wenn, immer wenn"
"rigoler","lachen, Spass haben"
"bien","gut"
"rigoler bien","viel lachen, echt Spass haben"
"tres","sehr"
"sportif/sportive adj.","sportlich"
"le tennis","Tennis"
"Je n'ai pas le temps.","Ich habe keine Zeit."
"le temps","die Zeit"
"prefere/preferee adj.","Lieblings-"
"le repas","das Essen, die Mahlzeit"
"vegetarien/vegetarienne adj.","vegetarisch"
"le look","der Look, das Outfit"
"porter qc","etw. tragen"
"les lunettes (f, pl)","die Brille"
"vert/verte adj.","gruen"
