"Franzoesisch","Deutsch"
"donner qc","etw. geben, aufgeben"
"un avis","eine Meinung"
"donner son avis sur qc","seine Meinung ueber etw. aeussern"
"a mon avis","meiner Meinung nach"
"beaucoup de + nom","viel/viele"
"ne...pas assez de + nom","nicht genug, nicht genuegend"
"assez de + nom","genug, genuegend"
"trop de + nom","zu viel/viele"
"ne...pas de + nom","keinen/keine/kein"
"la video","das Video, der Film"
"le bruit","der Laerm, das Geraeusch"
"un ascenseur","ein Aufzug"
"la recreation","die Hofpause"
"dommage adj.","schade"
"je pense que","ich denke, dass"
