"Franzoesisch","Deutsch"
"manger qc","etw. essen"
"bon/bonne adj.","gut, beim Essen: lecker"
"le plat","das Hauptgericht, das Gericht"
"Quel est ton plat prefere?","Was ist dein Lieblingsgericht?"
"le steak","das Steak"
"le riz","der Reis"
"les frites (f, pl)","die Pommes frites"
"la crepe","die Crepe"
"preparer qc","etw. vorbereiten, etw. zubereiten"
"il faut qc","man braucht/wir brauchen etw."
"un oeuf","ein Ei"
"j'ai eu","ich habe bekommen"
"le lait","die Milch"
"le sucre","der Zucker"
"la farine","das Mehl"
"les pates (f, pl)","die Nudeln"
"les legumes (m, pl)","das Gemuese"
"la sauce","die Sosse"
"le croque-monsieur","franzoesisches Sandwich"
"le fromage","der Kaese"
"le jambon","der Schinken"
