Franzoesisch;Deutsch
Tu es en cinquième ?;Bist du in der 7. Klasse?
la cinquième (f);die siebte Klasse
la sixième (f);die sechste Klasse
Je suis en sixième.;Ich bin in der 6. Klasse.
oui;ja
non;nein
d'accord;okay, einverstanden
Tu parles quelles langues?;Welche Sprachen sprichst du?
Je parle;Ich spreche
un peu;ein bisschen
le français (m);Franzoesisch, die frz. Sprache
l'anglais (m);Englisch, die englische Sprache
l'arabe (m);Arabisch, die arabische Sprache
l'allemand (m);Deutsch, die deutsche Sprache
l'espagnol (m);Spanisch, die spanische Sprache
la langue (f);die Sprache
C'est super !;Das ist super!
