Franzoesisch;Deutsch
Ou?;Wo?
C'est ou?;Wo ist das?
le numero (m);die Nummer
entre;zwischen
a cote;neben
passer par;vorbeigehen
Je passe;Ich verbringe
aimer qn/qc;jdn/etw. moegen
le croissant (m);das Croissant
bien sur;natuerlich
en bus;mit dem Bus
en bus;im Bus
a pied;zu Fuss
regarder qn/qc;jdn/etw. ansehen
un episode (m);eine Folge
vu;gesehen
ou;oder
ecouter;hoeren
ecouter la musique;Musik hoeren
