Franzoesisch;Deutsch
une librairie (f);eine Buchhandlung
une pharmacie (f);eine Apotheke
une bibliotheque (f);eine Bibliothek
une usine (f);eine Fabrik
une mosquee (f);eine Moschee
un ordinateur (m);ein Computer
une synagogue (f);eine Synagoge
un prof (m);der Lehrer
la prof (f);die Lehrerin
un eleve (m);ein Schueler
une eleve (f);eine Schuelerin
la porte (f);die Tuer
la fenetre (f);das Fenster
la table (f);der Tisch
la chaise (f);der Stuhl
la classe (f);die Klasse
le tableau (m);die Tafel
le mot (m);das Wort
la phrase (f);der Satz
l'ordinateur (m);der Computer
la tablette (f);das Tablet
le poster (m);das Poster
le livre (m);das Buch
le cahier (m);das Heft
le stylo (m);der Stift
