Franzoesisch;Deutsch
Tu as quel âge ?;Wie alt bist du?
J'ai... ans.;Ich bin... Jahre alt.
Tu habites où ?;Wo wohnst du?
J'habite;Ich wohne
en + Land;in + Land
à + Stadt;in + Stadt
l'Allemagne (f);Deutschland
la France (f);Frankreich
moi aussi;ich auch
aussi;auch
j'ai besoin de ...;ich brauche
