classe;page;de;en
6;122;es gibt;None
6;122;eine, ein;None
6;122;Plural von un und une;None
6;122;der Supermarkt;None
6;122;das Kino;None
6;122;das Schwimmbad, der Pool;None
6;122;die Baeckerei;None
6;122;der Bahnhof;None
6;122;der Park;None
6;122;das Einkaufszentrum;None
6;122;das Geschaeft, der Laden;None
6;122;das Cafe;None
6;122;das Restaurant;None
6;122;die U-Bahn, die Metro;None
6;122;die Bruecke;None
6;122;die Seine (Fluss);None
6;122;mein Lieblingsort;None
6;122;die Kathedrale, der Dom;None
6;122;zum Beispiel/z. B.;None
6;122;fuer;None
6;122;die Wahl;None
6;122;der Fan;None
