Franzoesisch;Deutsch
Comment... ?;Wie ... du?
Salut !;Hallo!
Je m'appelle...;Ich heisse...
et toi ?;Und du?
À plus ! / À bientôt !;Bis spaeter!
Ça va ?;Wie geht's? (Geht's?)
Ça va.;Es geht gut.
bof, bof.;Na ja.
super, cool, tip top;Super, toll, ach so
ça sonne !;Es klingt!
À demain !;Bis morgen!
Bonjour !;Guten Tag, Guten Morgen!
Madame/Mme (f);Frau
Monsieur/M. (m);Herr
Au revoir !;Auf Wiedersehen!
Mademoiselle/Mlle (f);Fraeulein
