"Franzoesisch","Deutsch"
"je cherche","ich suche"
"d'abord","zuerst"
"je voudrais","ich moechte"
"s'il te plait","bitte (Du-Form)"
"s'il vous plait","bitte (Sie-Form)"
"la boulangerie (f)","die Baeckerei"
"un supermarche (m)","ein Supermarkt"
"un cinema (m)","ein Kino"
"le metro (m)","die Metro"
"un restaurant (m)","ein Restaurant"
"un magasin (m)","ein Geschaeft"
"un parc (m)","ein Park"
"un centre commercial (m)","ein Einkaufszentrum"
"un pont (m)","eine Bruecke"
"une gare (f)","ein Bahnhof"
"un stade (m)","ein Stadion"
"une piscine (f)","ein Schwimmbad"
"une cathedrale (f)","eine Kathedrale"
"un college (m)","eine Schule"
"un musee (m)","ein Museum"
"un theatre (m)","ein Theater"
"un hotel (m)","ein Hotel"
"un cafe (m)","ein Cafe"
"une rue (f)","eine Strasse"
"une tour (f)","ein Turm"
