"Franzoesisch","Deutsch"
"m","maennlich"
"f","weiblich"
"pl","Plural (Mehrzahl)"
"Voilà","Los geht's!, Hier sind..."
"Paris","Hauptstadt Frankreichs"
"la ville (f)","die Stadt"
"le stade (m)","das Stadion"
"la baguette (f)","die Baguette"
"et","und"
"la classe (f)","die Klasse"
