Franzoesisch;Deutsch
la science (f);die Wissenschaft
un hotel (m);ein Hotel
en plus;ausserdem
la nature (f);die Natur
apres;nach
le college (m);die Schule
rentrer;nach Hause gehen
rentrer;zurueckkommen
habiter;wohnen
comme;wie
