Franzoesisch;Deutsch
Qu'est-ce que c'est?;Was ist das?
Comment on dit...? ;Wie schreibt man...?
ne... pas;nicht
On dit...;Man schreibt...
Je ne sais pas.;Ich weiss es nicht.
Bastille (f);Viertel im Osten von Paris
Qu'est-ce qu'il y a?;Was gibt es?
