classe;page;de;en
9;159;der Meinung sein;None
9;159;das Journal;None
9;159;die Presse;None
9;159;der (Zeitungs-)Artikel;None
9;159;der Auftrag;None
9;159;geheim;None
9;159;das Dokument;None
9;159;das Ausland;None
9;159;der Fremde;None
9;159;der/die Vertraute;None
9;159;berechnen;None
9;159;die Ziffer;None
9;159;der Taschenrechner;None
9;159;;None
9;159;das Geschlecht;None
9;159;die Freundschaft;None
9;159;das Wort;None
9;159;das Laecheln;None
9;159;die Zaertlichkeit;None
9;159;die Zeit;None
