classe;page;de;en
9;162;die Zeichnung;None
9;162;der Kopf;None
9;162;die Zeichnung;None
9;162;der Aerger;None
9;162;die Scham;None
9;162;das Herz;None
9;162;wann;None
9;162;zu zweit;None
9;162;froehlich;None
9;162;traurig;None
9;162;die Schuechternheit;None
9;162;schuechtern;None
9;162;auf vollen Touren;None
9;162;gluecklich;None
9;162;ungluecklich;None
9;162;das Thema;None
9;162;das Journal;None
9;162;Tim;None
9;162;der Richter;None
9;162;der Reporter;None
9;162;die Reise;None
9;162;die Welt;None
9;162;der Kurs;None
9;162;das Einhorn;None
