classe;page;de;en
9;175;werden;None
9;175;der Chef;None
9;175;gruenden;None
9;175;das Unternehmen;None
9;175;eroeffnen;None
9;175;der Handel;None
9;175;die Bank;None
9;175;der Dienst;None
9;175;das Produkt;None
9;175;die Qualitaet;None
9;175;die Werbung;None
9;175;das Marketing;None
9;175;der Kunde;None
9;175;der Verbraucher;None
9;175;der Preis;None
9;175;verkaufen;None
9;175;kaufen;None
9;175;die Waehrung;None
9;175;der Euro;None
9;175;die Schulden;None
9;175;der Kredit;None
9;175;die Boerse;None
9;175;investieren;None
9;175;der Gewinn;None
