classe;page;de;en
9;154;romantisch;None
9;154;dir etw. ankuendigen;None
9;154;die Ankuendigung;None
9;154;jdn/etw. ankuendigen;None
9;154;das Schliessfach;None
9;154;schick;None
9;154;das Geschaeft;None
9;154;das Speiseeis;None
9;154;der/die Erwachsene/r;None
9;154;der Schneemann;None
9;154;weniger als;None
9;154;interessant;None
9;154;die Braeune;None
9;154;das Buero;None
9;154;der Hochrheiner;None
9;154;der Spaziergang;None
9;154;das Bateau-Mouche;None
9;154;das Louvre Museum;None
9;154;die Pont des Arts;None
9;154;das Centre Pompidou;None
9;154;die Bastille;None
9;154;Saint-Louis;None
9;154;der Raspail-Boulevard;None
9;154;das Wissenschafts- und Industriecentrum;None
9;154;der Pariser/die Pariserin;None
9;154;der Tourismus;None
9;154;der Tourist;None
