classe;page;de;en
9;178;das Taschengeld;None
9;178;der Computer;None
9;178;das Handy;None
9;178;das Spiel;None
9;178;das Tablet;None
9;178;die Zeitschrift;None
9;178;die Zeitung;None
9;178;das Buch;None
9;178;die CD;None
9;178;die DVD;None
9;178;die Fahrkarte;None
9;178;das Museum;None
9;178;der Platz;None
9;178;der Ausgang;None
9;178;die Zeit;None
9;178;man muss;None
9;178;es braucht Zeit;None
9;178;es ist nicht noetig, etw. zu tun;None
9;178;die meisten;None
9;178;der Konsum;None
9;178;die Werbung;None
