classe;page;de;en
9;161;Vertrauen in jdn/etw. haben;None
9;161;verschieden;None
9;161;das Ideal;None
9;161;der Fehler;None
9;161;gehasst werden;None
9;161;ein boeser Streich;None
9;161;das System;None
9;161;die Qualitaet;None
9;161;intelligent;None
9;161;die Eifersucht;None
9;161;eifersuechtig sein;None
9;161;sich ueber jdn. lustig machen;None
9;161;die Luege;None
9;161;die Mutter;None
9;161;der Vater;None
9;161;das Foto;None
9;161;Durst haben;None
9;161;informiert sein;None
9;161;die Existenz;None
9;161;die Luege;None
9;161;die Clique;None
9;161;die Klasse;None
9;161;jdn. interessieren;None
9;161;eine Luege;None
