classe;page;de;en
9;158;das Denkmal;None
9;158;La Defense;None
9;158;die Ausstellung;None
9;158;die Architektur;None
9;158;die Konstruktion;None
9;158;im Zentrum von;None
9;158;damals;None
9;158;messen;None
9;158;die Million;None
9;158;modern;None
9;158;oekologisch;None
9;158;die Energie;None
9;158;die Sonnenenergie;None
9;158;die Sonne;None
9;158;der Wind;None
9;158;das Buero;None
9;158;die Zeichnung;None
9;158;das Unternehmen;None
9;158;die Stimme;None
9;158;die Franzoesische Revolution;None
9;158;der Palast;None
9;158;der Trocadero-Palast;None
9;158;der Trocadero;None
9;158;die Immobilien;None
