classe,page,de,en
Klasse 10 G-Kurs,144,Kuehlschrank,fridge
Klasse 10 G-Kurs,144,Hitze,heat
Klasse 10 G-Kurs,144,erhitzen,heat
Klasse 10 G-Kurs,144,Mikrowelle,microwave
Klasse 10 G-Kurs,144,eine Entscheidung faellen,make a decision
Klasse 10 G-Kurs,144,Entscheidung,decision
Klasse 10 G-Kurs,144,Traene,tear
Klasse 10 G-Kurs,144,wahrscheinlich,probably
Klasse 10 G-Kurs,144,still werden,full silent
Klasse 10 G-Kurs,144,aufwachsen,grow up
Klasse 10 G-Kurs,144,sich in Verbindung setzen,get on to
Klasse 10 G-Kurs,144,etw. bekommen,get sth.
Klasse 10 G-Kurs,144,umarmen,hug
Klasse 10 G-Kurs,144,folglich,as a result
Klasse 10 G-Kurs,144,Englischsprecher,English speaker
Klasse 10 G-Kurs,144,Dialog,dialogue
Klasse 10 G-Kurs,144,vollstaendig,complete
Klasse 10 G-Kurs,144,eintreten,enter
Klasse 10 G-Kurs,144,Brieftasche,wallet
Klasse 10 G-Kurs,144,blauer Fleck,bruise
Klasse 10 G-Kurs,144,Ausweis,ID
Klasse 10 G-Kurs,144,Ausweisung,identification
