classe,page,de,en
Klasse 10 G-Kurs,142,damals,back then
Klasse 10 G-Kurs,142,Reisepass,passport
Klasse 10 G-Kurs,142,Gewalt,violence
Klasse 10 G-Kurs,142,Protest,protest
Klasse 10 G-Kurs,142,demonstrieren,protester
Klasse 10 G-Kurs,142,unbewaffnet,unarmed
Klasse 10 G-Kurs,142,bewaffnet,armed
Klasse 10 G-Kurs,142,erleben,experience
Klasse 10 G-Kurs,142,Armut,poverty
Klasse 10 G-Kurs,142,Arbeitslosigkeit,unemployment
Klasse 10 G-Kurs,142,Freiheit,freedom
Klasse 10 G-Kurs,142,Beziehung,relationship
Klasse 10 G-Kurs,142,illegal,illegal
Klasse 10 G-Kurs,142,versuchen,try
Klasse 10 G-Kurs,142,irgendwie,anyway
Klasse 10 G-Kurs,142,heiraten,marry
Klasse 10 G-Kurs,142,aehnlich,similar to
Klasse 10 G-Kurs,142,Feiertag,holiday
