classe,page,de,en
Klasse 10 G-Kurs,150,Karriere,career
Klasse 10 G-Kurs,150,Geschlecht,gender
Klasse 10 G-Kurs,150,Ort,location
Klasse 10 G-Kurs,150,Wendepunkt,turning point
Klasse 10 G-Kurs,150,Richtung,direction
Klasse 10 G-Kurs,150,Rueckblende,flashback
Klasse 10 G-Kurs,150,Einstellung,shot
Klasse 10 G-Kurs,150,Totale,long shot
Klasse 10 G-Kurs,150,Halbtotale,medium shot
Klasse 10 G-Kurs,150,Nahaufnahme,close-up
Klasse 10 G-Kurs,150,Vision,vision
Klasse 10 G-Kurs,150,Drohne,drone
Klasse 10 G-Kurs,150,Medizin,medicine
Klasse 10 G-Kurs,150,Kontaktlinse,contact lens
Klasse 10 G-Kurs,150,Elektrizitaet,electricity
Klasse 10 G-Kurs,150,Hightech,hi-tech
Klasse 10 G-Kurs,150,Kissen,pillow
Klasse 10 G-Kurs,150,Kontrolle,control
Klasse 10 G-Kurs,150,Wissenschaftler,scientist
