classe,page,de,en
Klasse 10 G-Kurs,153,Reinheit,purity
Klasse 10 G-Kurs,153,Warnung,warning
Klasse 10 G-Kurs,153,Katastrophe,catastrophe
Klasse 10 G-Kurs,153,Erderwaermung,global warming
Klasse 10 G-Kurs,153,mit etw. auskommen,make do
Klasse 10 G-Kurs,153,aus Versehen,by accident
Klasse 10 G-Kurs,153,Wahl,choice
Klasse 10 G-Kurs,153,Schuppen,shed
Klasse 10 G-Kurs,153,sich verstecken vor,hide from
Klasse 10 G-Kurs,153,Friedhof,graveyard
Klasse 10 G-Kurs,153,in Ordnung,all right
Klasse 10 G-Kurs,153,in Angst,in fear
Klasse 10 G-Kurs,153,noch,nor
Klasse 10 G-Kurs,153,jemand,anybody
Klasse 10 G-Kurs,153,rudern,row
Klasse 10 G-Kurs,153,irgendwo,somewhere
Klasse 10 G-Kurs,153,etw. tun muessen,need to do sth.
Klasse 10 G-Kurs,153,Ueberleben,survival
