classe,page,de,en
Klasse 10 E-Kurs,213,einer Sache vorzuziehen; besser als etwas,preferable to sth
Klasse 10 E-Kurs,213,vorziehen; lieber moegen als,prefer to
Klasse 10 E-Kurs,213,einer anderen Sache vorzuziehen; besser als,preferable to
Klasse 10 E-Kurs,213,vorzugsweise; am liebsten,preferably
Klasse 10 E-Kurs,213,Einblick in; Verstaendnis von,insight into
Klasse 10 E-Kurs,213,Mensch; menschlich,human
Klasse 10 E-Kurs,213,Geschoepf; Lebewesen,creature
Klasse 10 E-Kurs,213,anstatt; anstelle von,instead of
Klasse 10 E-Kurs,213,verwirrt,confused
Klasse 10 E-Kurs,213,eigentlich; um genau zu sein,in fact
Klasse 10 E-Kurs,213,Mehrheit; Mehrzahl,majority
Klasse 10 E-Kurs,213,Jahrhundert,century
Klasse 10 E-Kurs,213,Lingua Franca; Verkehrssprache,lingua franca
Klasse 10 E-Kurs,213,permanent; bestaendig,permanent
Klasse 10 E-Kurs,213,Fragezeichen,question mark
Klasse 10 E-Kurs,213,Punkt,full stop
Klasse 10 E-Kurs,213,Komma,comma
Klasse 10 E-Kurs,213,Doppelpunkt,colon
Klasse 10 E-Kurs,213,Ausrufezeichen,exclamation mark
Klasse 10 E-Kurs,213,Bindestrich,hyphen
Klasse 10 E-Kurs,213,typisch fuer,typical of
