classe,page,de,en
Klasse 10 E-Kurs,226,Fabrik,factory
Klasse 10 E-Kurs,226,unmoeglich,impossible
Klasse 10 E-Kurs,226,von innen nach aussen,inside out
Klasse 10 E-Kurs,226,Ingenieur,engineer
Klasse 10 E-Kurs,226,Werbetafel,billboard
Klasse 10 E-Kurs,226,Einstellung,recruitment
Klasse 10 E-Kurs,226,Zitat,quote
Klasse 10 E-Kurs,226,etw. aufhaengen,put sth. up
Klasse 10 E-Kurs,226,Rolle spielen,feature
Klasse 10 E-Kurs,226,erhalten,receive
Klasse 10 E-Kurs,226,ermutigen,encourage
Klasse 10 E-Kurs,226,maennlich,male
Klasse 10 E-Kurs,226,Klischee,stereotype
Klasse 10 E-Kurs,226,nicht-weisse Menschen,people of colour
Klasse 10 E-Kurs,226,Minderheit,minority
Klasse 10 E-Kurs,226,Ingenieurwesen,engineering
Klasse 10 E-Kurs,226,Karriere,career
Klasse 10 E-Kurs,226,Geschlecht,gender
Klasse 10 E-Kurs,226,so ziemlich,just about
Klasse 10 E-Kurs,226,Ort,location
