classe,page,de,en
Klasse 10 E-Kurs,224,das Fernlicht war eingeschaltet,“the headlights were on
Klasse 10 E-Kurs,224,"anhalten, an den StraRenrand fahren",*pull up
Klasse 10 E-Kurs,224,"Uberreden, Uberzeugen",*persuade
Klasse 10 E-Kurs,224,wiitend,furious
Klasse 10 E-Kurs,224,etwas tun sollen/,°be supposed to be/do sth.
Klasse 10 E-Kurs,224,"rasen, zu schnell fahren","*speed sped,"
Klasse 10 E-Kurs,224,"Bodenschwelle, Bremsschwelle (zur Verkehrsberuhigung)",°speed hump
Klasse 10 E-Kurs,224,"Freund/in, Kumpel",*mate (infmi)
Klasse 10 E-Kurs,224,Narbe,°scar
Klasse 10 E-Kurs,224,Gas geben (Auto),*put your foot down
Klasse 10 E-Kurs,224,direkt hinter inm,*right behind him
Klasse 10 E-Kurs,224,(Straßen-)Kreuzung,°junction
Klasse 10 E-Kurs,224,"direkt, gleich",“straight
Klasse 10 E-Kurs,224,"(be)schadigen, schaden",*damage
