classe,page,de,en
Klasse 10 E-Kurs,210,"annehmen, mit offenen Armen",embrace
Klasse 10 E-Kurs,210,Vielfalt,diversity
Klasse 10 E-Kurs,210,multikulturell,multicultural
Klasse 10 E-Kurs,210,Regenbogen,rainbow
Klasse 10 E-Kurs,210,kolonisieren,colonize
Klasse 10 E-Kurs,210,Diamant,diamond
Klasse 10 E-Kurs,210,Mischung,mix
Klasse 10 E-Kurs,210,Religion,religion
Klasse 10 E-Kurs,210,"farbenfroh, bunt",colourful
Klasse 10 E-Kurs,210,"Tiere (in freier Wildbahn), Tierwelt Tierwelt Tierwelt",wildlife
Klasse 10 E-Kurs,210,"niedrig, tief",low
Klasse 10 E-Kurs,210,Waehrung,currency
Klasse 10 E-Kurs,210,Apartheid (frueheres System der Trennung zwischen Weissen und Schwarzen in Suedafrika),apartheid
Klasse 10 E-Kurs,210,trennen (nach Hautfarbe/ Religion/Geschlecht),segregate
Klasse 10 E-Kurs,210,oeffentlich,public
Klasse 10 E-Kurs,210,System,system
Klasse 10 E-Kurs,210,jn. (aus etwas) freilassen,release sb. from sth.
Klasse 10 E-Kurs,210,mehrsprachig,multilingual
