"Franzoesisch","Deutsch"
"C'est ca","Das ist richtig"
"tu y vas","du gehst"
"tu vas au club de foot","du gehst zum Fussballverein"
"l'heure (f)","die Stunde"
"au cinema","ins Kino"
"au club de foot","zum Fussballverein"
"au cyberclub","in den Cyberclub"
"au roller parc","in den Skatepark"
"a la mediatheque","in die Mediathek"
"a la piscine","ins Schwimmbad"
"a trois heures","um drei Uhr"
"passer chez qn","bei jdm. vorbeikommen"
"d'abord","zuerst"
"apres","nachher"
"la piscine (f)","das Schwimmbad"
"le stage (m)","der Workshop, der Kurs"
"le quoi (m)","die Sache"
"C'est mercredi.","Es ist Mittwoch."
"apres-midi (m)","der Nachmittag"
"ou","wo"
"aller (v)","gehen"
