"Franzoesisch","Deutsch"
"le reveillon (m) de la Saint-Sylvestre","Silvester"
"le Nouvel An (m)","Neujahr"
"le jour (m) des Rois","Heilige Drei Koenige"
"la galette des Rois (f)","der Dreikoenigskuchen"
"la feve (f)","die Bohne"
"trouver la feve (v)","die Bohne finden"
"le roi (m) / la reine (f)","der Koenig / die Koenigin"
"le carnaval (m)","der Karneval"
"Paques (m, pl)","Ostern"
"la cloche (f)","die Glocke"
"le lapin de chocolat (m)","der Schokoladenhase"
"le poisson d'avril (m)","der Aprilscherz"
"le jour (m) de la fete des meres","der Muttertag"
"la fete nationale (f)","der Nationalfeiertag"
"le feu d'artifice (m)","das Feuerwerk"
"la citrouille (f)","der Kuerbis"
"aimer qn/qc (v)","jdn/etw. moegen"
"adorer qn/qc (v)","jdn/etw. sehr moegen"
"la tele (f) / la television (f)","das Fernsehen"
"la nature (f)","die Natur"
"le skate (m)","das Skateboard"
