"Franzoesisch","Deutsch"
"corriger qc (v)","etw. korrigieren"
"la faute (f)","der Fehler"
"soixante (num)","60"
"ne... pas encore (neg)","noch nicht"
"j'ai froid","Mir ist kalt"
"je peux (v)","ich kann"
"j'apprends qc (v)","ich lerne etw."
"le hockey (m)","das Hockey"
"la chimie (f)","die Chemie"
"fermer (v)","schliessen"
"allô","hallo"
"interro (f)","der Test"
"mes internes (m, pl)","unsere Klassenkameraden"
"vous allez travailler (v)","ihr werdet arbeiten"
"le groupe (m)","die Gruppe"
"le rugby (m)","das Rugby"
"en groupe","in der Gruppe"
"le sujet (m)","das Thema"
"la corvée (f)","die Strafarbeit"
"la famille (f)","die Familie"
"je peux me mettre à côté de","ich kann mich setzen neben"
"en / au fond (loc)","hinten"
