"Franzoesisch","Deutsch"
"la fete (f)","die Feier, die Party"
"la cite (f)","die Siedlung"
"quand (adv)","wann"
"l'anniversaire (m)","der Geburtstag"
"le 21 mars","am 21. Maerz"
"le premier","der erste"
