"Franzoesisch","Deutsch"
"la technologie (f)","Technik"
"être en retard (v)","zu spaet sein"
"aller chez qn (v)","zu jdm. gehen"
"aller chez","zu"
"le CPE (m)","der Schulbetreuer"
"le conseil principal (m)","das Hauptsekretariat"
"le carnet (m) de correspondance","der Kommunikationsplaner"
"pourquoi (adv)","warum"
"parce que (conj)","weil"
"penser (v)","denken"
"la montre (f)","die Armbanduhr"
"marcher (v)","gehen"
"le courriel (m)","die E-Mail"
"l'ennui (m)","die Langeweile"
"l'interro (f)","der Test, die Klassenarbeit"
"la correction (f)","die Korrektur"
"l'interrogation (f)","die Befragung"
"l'horaire (m)","der Stundenplan"
