"Franzoesisch","Deutsch"
"l'ecole (f)","die Schule"
"polycopier qc (v)","etw. vervielfaeltigen"
"le projet (m)","das Projekt"
"fatigue (adj)","erschoepft"
"surfer (v)","surfen"
"Internet (m)","das Internet"
"a seize ans","mit 16 Jahren"
"un essai (m)","ein Versuch"
"mal (adv)","schlecht"
"en juillet (m)","im Juli"
"la semaine (f)","die Woche"
"aux","den"
"les Stress-Alp (m, pl)","die Schulabschlusspruefungen"
"le temps (m)","die Zeit"
"avoir le temps (v)","Zeit haben"
"ne... que (neg)","nur"
"deja (adv)","schon"
"quand meme (adv)","trotzdem"
