"Franzoesisch","Deutsch"
"le sachet (m)","der Beutel, die Tuete"
"le bonbon (m)","das Bonbon"
"un pot de","ein Topf"
"une bouteille de","eine Flasche"
"un litre de","ein Liter"
"un sachet de","ein Beutel"
"la glace (f)","das Eis"
"la glace à la vanille (f)","das Vanilleeis"
"la glace au chocolat (f)","das Schokoladeneis"
"le vendeur (m)","der Verkaeufer"
"C'est moi!","Ich bin's!"
"ça va tout?","ist alles in Ordnung?"
"la cola (m)","die Cola"
"le sandwich (m)","das Sandwich"
"le jambon (m)","der Schinken"
"l'orangina (m)","die Orangenlimonade"
"le dîner (m)","das Abendessen"
"dîner (v)","zu Abend essen"
"prêt (adj)","fertig"
"la maison (f)","das Haus"
