"Franzoesisch","Deutsch"
"arriver (v)","kommen"
"le soir (m)","der Abend"
"ici (adv)","hier"
"joyeux anniversaire!","Alles Gute zum Geburtstag!"
"les boucles d'oreilles (f, pl)","die Ohrringe"
"le sac a dos (m)","der Rucksack"
"la batterie (f)","die Batterie"
"les fringues (f, pl)","die Klamotten"
"le jeu video (m)","das Videospiel"
"la guitare (f)","die Gitarre"
"les baskets (m, pl)","die Turnschuhe"
"le cousin (m)","der Cousin"
"les patins a glace (m, pl)","die Schlittschuhe"
"Noel (m)","Weihnachten"
"le pere Noel (m)","der Weihnachtsmann"
"le sapin (m)","die Tanne"
"decorer le sapin et la maison (v)","den Weihnachtsbaum und das Haus schmuecken"
"le reveillon (m)","der Heiligabend"
