"Franzoesisch","Deutsch"
"cher/chère (m/f)","lieber/liebe"
"mamy (f)","Oma"
"plein de (quant)","viele"
"la vie (f)","das Leben"
"la ville (f)","die Stadt"
"le concert (m)","das Konzert"
"il fait (v) super beau","Das Wetter ist super schoen"
"hier (adv)","gestern"
"demain (adv)","morgen"
"la chance (f)","das Glueck"
"avoir de la chance (v)","Glueck haben"
"j'embrasse (v)","ich umarme"
"il fait très beau","Es ist sehr gut"
"il fait chaud","Es ist heiss"
"il fait froid","Es ist kalt"
"il fait soleil","Die Sonne scheint"
"il pleut (v)","Es regnet"
