"Franzoesisch","Deutsch"
"Attention! (interj)","Vorsicht! Achtung!"
"Je suis désolé/e!","Es tut mir leid!"
"Vive Paris! (interj)","Paris lebe hoch!"
"faire son sac (loc)","seine Tasche packen"
"passer qc (v)","etw. verbringen"
"demain (adv)","morgen"
"la fête de la musique (f)","das Musikfest"
"le concert (m)","das Konzert"
"Youpi! (interj)","Juhu!"
"la place (f)","der Platz"
"la place de la Bastille (f)","der Bastille-Platz"
"le quartier (m)","das Viertel"
"un voisin (m)","ein Nachbar"
