"Franzoesisch","Deutsch"
"un peu de qc (quant)","ein wenig"
"le biscuit (m)","der Keks"
"la confiture (f)","die Konfituere"
"la tomate (f)","die Tomate"
"la bouteille (f)","die Flasche"
"l'eau (f)","das Wasser"
"le lait (m)","die Milch"
"les œufs (m, pl)","die Eier"
"un poussin (m)","ein Kueken"
"un œuf (m)","ein Ei"
"le jeu d'orange (m)","der O-Saft"
"le fruit (m)","die Frucht"
"les fruits (m, pl)","das Obst"
"la pomme (f)","der Apfel"
"la banane (f)","die Banane"
