"Franzoesisch","Deutsch"
"à la maison (loc)","zu Hause"
"le message (m)","die Nachricht"
"acheter qc (v)","etw. kaufen"
"la quiche (f)","die Quiche"
"les légumes (m, pl)","das Gemuese"
"la quiche aux légumes (f)","die Gemuese-Quiche"
"ils veulent/elles veulent (v)","sie wollen"
"vouloir (v)","wollen"
"ne... pas (neg)","nicht"
"le travail (m)","die Arbeit"
"trop de qc (quant)","zu viel"
"le poulet (m)","das Haehnchen"
"les frites (f, pl)","die Pommes frites"
"C'est cher!","Das ist teuer!"
