"Franzoesisch","Deutsch"
"le centre-ville (m)","die Innenstadt"
"le tour en bus (m)","die Stadtrundfahrt"
"tu as fait","du hast gemacht"
"on a fait","man hat gemacht"
"nous avons fait","wir haben gemacht"
"j'ai eu","ich habe gehabt"
"tu as eu","du hast gehabt"
"on a eu","man hat gehabt"
"nous avons eu","wir haben gehabt"
"C'était trop cool","Es war zu cool"
"Ce n'était pas drôle","Es war nicht lustig"
"donner le bonjour à qn (v)","jdn. gruessen"
"amicalement (adv)","freundschaftlich"
"le bisou (m)","der Kuss"
"bises (f, pl)","Kuesse"
"à bientôt (loc)","bis bald"
