"Franzoesisch","Deutsch"
"inviter qn (v)","jdn. einladen"
"Ce n'est pas possible.","Das ist nicht moeglich."
"chez elle","bei ihr, zu ihr"
"la surprise (f)","die Ueberraschung"
"feter la surprise (v)","die Ueberraschung feiern"
"c'est l'anniversaire de","es ist der Geburtstag von"
"apporter qc (v)","etw. mitbringen"
"le gateau (m)","der Kuchen"
"les gateaux (m, pl)","die Kuchen"
"faire un gateau (v)","einen Kuchen backen"
"la chambre (f)","das Zimmer"
"le numero (m)","die Nummer"
"faire le numero de qn","jdn. anrufen"
"Salut","Hallo"
"bof","naja"
"C'est cool.","Das ist toll."
"avec moi","mit mir"
