"Franzoesisch","Deutsch"
"noter qc (v)","etw. aufschreiben"
"la trousse (f)","die Federmappe"
"vos (pos)","Ihr"
"la gomme (f)","der Radiergummi"
"la famille (f)","die Familie"
"vous pouvez","ihr koennt"
"pouvoir (v)","koennen"
"utiliser qc (v)","etw. benutzen"
"votre (pos)","euer"
"l'atlas (m)","der Atlas"
"la minute (f)","die Minute"
"le leur (pos)","der ihre"
"le tien (pos)","der deine"
"autre (adj)","andere"
"leur (pos)","ihr"
"nos (pos)","unsere"
