"Franzoesisch","Deutsch"
"juillet (m)","Juli"
"aout (m)","August"
"septembre (m)","September"
"octobre (m)","Oktober"
"novembre (m)","November"
"decembre (m)","Dezember"
"c'est un samedi","Das ist am Samstag"
"lundi (m)","Montag"
"mardi (m)","Dienstag"
"mercredi (m)","Mittwoch"
"jeudi (m)","Donnerstag"
"vendredi (m)","Freitag"
"samedi (m)","Samstag"
"dimanche (m)","Sonntag"
"Qu'est-ce que","Fragewort"
"Quand","Wann"
"Comment","Wie"
"organiser qn","jdn. organisieren"
"le probleme (m)","das Problem"
"le week-end (m)","das Wochenende"
"le cine (m)","das Kino"
