"Franzoesisch","Deutsch"
"la salle des professeurs (f)","das Lehrerzimmer"
"le secrétariat (m)","das Sekretariat"
"la vie scolaire (f)","das Schulleben"
"le CDI (m)","die Schuelerbuecherei"
"la cantine (f)","die Kantine"
"la salle de permanence (f)","der Aufenthaltsraum"
"en permanence (adv)","im Aufenthaltsraum"
"il est huit heures","Es ist acht Uhr"
"demi (adj)","halb"
"midi (m)","12 Uhr mittags"
"minuit (m)","12 Uhr nachts"
"moins (prép)","vor"
"et quart (loc)","Viertel"
"et demie (loc)","halb"
"moins le quart (loc)","Viertel vor"
