"Franzoesisch","Deutsch"
"je fais","ich mache"
"feter (v)","feiern"
"peut-etre (adv)","vielleicht"
"pour (prep)","fuer"
"gentil (adj)","nett"
"la routine (f)","die Routine"
"la routine","immer dasselbe"
"danser (v)","tanzen"
"aller au foot (v)","Fussball spielen"
"aller au cinema (v)","ins Kino gehen"
"aller au roller parc (v)","in den Skatepark gehen"
"faire qc (v)","etw. machen"
"faire la fete (v)","feiern"
"ne... pas (neg)","nicht"
"les devoirs (m, pl)","die Hausaufgaben"
"rever (v)","traeumen"
"le cadeau (m)","das Geschenk"
"la","dort"
"tout de suite","sofort"
