"Franzoesisch","Deutsch"
"le hobby (m)","das Hobby"
"faire la cuisine (v)","kochen"
"Il fait la fete.","Er feiert."
"Il fait les devoirs.","Er macht die Hausaufgaben."
"Il fait son numero de copain.","Er ruft seinen Freund an."
"les spaghettis (m, pl)","die Spaghetti"
"dormir (v)","schlafen"
"le cheval (m)","das Pferd"
"les chevaux (m, pl)","die Pferde"
"un cadeau (m)","ein Geschenk"
"les cadeaux (m, pl)","die Geschenke"
"un animal (m)","ein Tier"
"les animaux (m, pl)","die Tiere"
"la photo (f)","das Foto"
"le zeros","die Null"
"je ronfle (v)","ich schnarche"
