"Franzoesisch","Deutsch"
"assez de qc (quant)","genug"
"l'argent (m)","das Geld"
"formidable (adj)","grossartig"
"comme (adj)","als"
"le dessert (m)","der Nachtisch"
"combien (interr. det)","wie viel"
"au un peu de","ein wenig"
"cuisiner qc (v)","etw. kochen"
"au marché (loc)","auf dem Markt"
"le poivron (m)","die Paprika"
"une pistache (f)","eine Pistazie"
"un kilo de pommes de terre","ein Kilo Kartoffeln"
"une cerise (f)","eine Kirsche"
"une fraise (f)","eine Erdbeere"
"une glace au citron","ein Zitroneneis"
"les concombres (m, pl)","die Gurken"
"une poire (f)","eine Birne"
"une escalope (f)","ein Schnitzel"
"une saucisse (f)","eine Wurst"
"un yaourt (m)","ein Joghurt"
"le jus de fraises","der Erdbeersaft"
